time,idx,total,i0_ax,i0_ay,i0_az,i0_gx,i0_gy,i0_gz,i1_ax,i1_ay,i1_az,i1_gx,i1_gy,i1_gz
1777407119.5516787,0,200,-13.48,-0.61,4.9,-62.72,53.76,26.88,-1.23,-10.41,7.96,-62.72,-62.72,26.88
1777407119.575923,1,200,-13.48,-0.61,4.9,-62.72,53.76,26.88,-0.61,-11.03,7.96,-80.64,-71.68,26.88
1777407119.6007495,2,200,-13.48,-0.61,4.9,-62.72,71.68,35.84,-0.61,-11.03,7.35,-80.64,-71.68,26.88
1777407119.636312,3,200,-12.86,-1.23,4.9,-62.72,71.68,35.84,-0.61,-11.64,7.35,-98.56,-71.68,26.88
1777407119.6569104,4,200,-13.48,-1.23,4.29,-71.68,80.64,35.84,0.0,-11.64,6.74,-107.52,-71.68,26.88
1777407119.6865416,5,200,-12.86,-1.23,3.68,-80.64,98.56,44.8,0.0,-11.64,6.74,-107.52,-71.68,26.88
1777407119.7085068,6,200,-12.25,-1.84,3.06,-80.64,98.56,44.8,0.0,-11.64,6.74,-125.44,-80.64,26.88
1777407119.7319002,7,200,-12.25,-1.84,2.45,-80.64,116.48,62.72,0.0,-11.03,6.13,-125.44,-80.64,26.88
1777407119.7566977,8,200,-11.64,-1.23,2.45,-80.64,116.48,62.72,0.0,-11.03,6.13,-134.4,-89.6,26.88
1777407119.78168,9,200,-11.03,-1.23,2.45,-89.6,134.4,71.68,0.61,-10.41,6.13,-143.36,-98.56,35.84
1777407119.807289,10,200,-11.64,-1.23,1.84,-98.56,143.36,80.64,0.61,-10.41,6.13,-143.36,-98.56,35.84
1777407119.8618176,11,200,-11.03,-1.23,1.84,-98.56,143.36,80.64,0.61,-10.41,5.51,-152.32,-98.56,35.84
1777407119.862935,12,200,-11.03,-1.23,1.23,-116.48,161.28,80.64,1.23,-11.03,5.51,-152.32,-98.56,35.84
1777407119.8833344,13,200,-11.03,-1.23,0.61,-116.48,161.28,80.64,1.23,-11.03,5.51,-161.28,-107.52,35.84
1777407119.9074652,14,200,-11.03,-1.84,0.0,-134.4,170.24,89.6,1.84,-11.03,5.51,-170.24,-116.48,44.8
1777407119.9374566,15,200,-11.03,-1.84,0.0,-134.4,170.24,89.6,1.84,-11.03,4.9,-170.24,-116.48,44.8
1777407119.956761,16,200,-10.41,-1.23,0.0,-152.32,188.16,98.56,1.84,-11.03,4.9,-179.2,-125.44,53.76
1777407119.9819443,17,200,-10.41,-1.23,0.0,-170.24,188.16,107.52,1.84,-10.41,4.29,-179.2,-125.44,53.76
1777407120.009653,18,200,-10.41,-1.23,-0.61,-170.24,188.16,107.52,2.45,-10.41,4.29,-188.16,-134.4,62.72
